Origin,Airline,Time,On_Time,Late,Probability_Late
CLE,UA,1,277,53,0.1606060606060606
CLE,UA,2,96,28,0.22580645161290322
CLE,UA,3,2,1,0.3333333333333333
CLE,B6,1,0,0,
CLE,B6,2,0,0,
CLE,B6,3,0,0,
CLE,WN,1,3,2,0.4
CLE,WN,2,0,0,
CLE,WN,3,0,0,
CLE,AA,1,0,0,
CLE,AA,2,0,0,
CLE,AA,3,0,0,
CLE,US,1,0,0,
CLE,US,2,0,0,
CLE,US,3,0,0,
CLE,DL,1,0,0,
CLE,DL,2,0,0,
CLE,DL,3,0,0,
CLE,NK,1,80,90,0.5294117647058824
CLE,NK,2,64,37,0.36633663366336633
CLE,NK,3,2,2,0.5
CLE,VX,1,0,0,
CLE,VX,2,0,0,
CLE,VX,3,0,0,
CLE,AS,1,0,0,
CLE,AS,2,0,0,
CLE,AS,3,0,0,
CLE,EV,1,1,1,0.5
CLE,EV,2,0,0,
CLE,EV,3,0,0,
CAK,F9,1,0,0,
CAK,F9,2,0,0,
CAK,F9,3,0,0,
CAK,UA,1,0,0,
CAK,UA,2,0,0,
CAK,UA,3,0,0,
CAK,B6,1,0,0,
CAK,B6,2,0,0,
CAK,B6,3,0,0,
CAK,WN,1,173,26,0.1306532663316583
CAK,WN,2,229,88,0.277602523659306
CAK,WN,3,17,14,0.45161290322580644
CAK,AA,1,0,0,
CAK,AA,2,0,0,
CAK,AA,3,0,0,
CAK,US,1,0,0,
CAK,US,2,0,0,
CAK,US,3,0,0,
CAK,DL,1,0,0,
CAK,DL,2,0,0,
CAK,DL,3,0,0,
CAK,NK,1,0,0,
CAK,NK,2,0,0,
CAK,NK,3,0,0,
CAK,VX,1,0,0,
CAK,VX,2,0,0,
CAK,VX,3,0,0,
CAK,AS,1,0,0,
CAK,AS,2,0,0,
CAK,AS,3,0,0,
CAK,EV,1,0,0,
CAK,EV,2,0,0,
CAK,EV,3,0,0,
BWI,F9,1,0,0,
BWI,F9,2,0,0,
BWI,F9,3,0,0,
BWI,UA,1,0,0,
BWI,UA,2,0,0,
BWI,UA,3,0,0,
BWI,B6,1,0,0,
BWI,B6,2,40,10,0.2
BWI,B6,3,0,0,
BWI,WN,1,618,198,0.2426470588235294
BWI,WN,2,726,479,0.3975103734439834
BWI,WN,3,468,574,0.5508637236084453
BWI,AA,1,0,0,
BWI,AA,2,0,0,
BWI,AA,3,0,0,
BWI,US,1,0,0,
BWI,US,2,0,0,
BWI,US,3,0,0,
BWI,DL,1,0,0,
BWI,DL,2,0,0,
BWI,DL,3,0,0,
BWI,NK,1,0,0,
BWI,NK,2,0,0,
BWI,NK,3,0,0,
BWI,VX,1,0,0,
BWI,VX,2,0,0,
BWI,VX,3,0,0,
BWI,AS,1,0,0,
BWI,AS,2,0,0,
BWI,AS,3,0,0,
BWI,EV,1,0,0,
BWI,EV,2,0,0,
BWI,EV,3,0,0,
DCA,F9,1,0,0,
DCA,F9,2,0,0,
DCA,F9,3,0,0,
DCA,UA,1,0,0,
DCA,UA,2,0,0,
DCA,UA,3,0,0,
DCA,B6,1,379,123,0.2450199203187251
DCA,B6,2,257,215,0.4555084745762712
DCA,B6,3,218,161,0.42480211081794195
DCA,WN,1,0,0,
DCA,WN,2,33,18,0.35294117647058826
DCA,WN,3,0,10,1.0
DCA,AA,1,124,29,0.1895424836601307
DCA,AA,2,322,139,0.30151843817787416
DCA,AA,3,147,113,0.4346153846153846
DCA,US,1,169,31,0.155
DCA,US,2,439,130,0.22847100175746923
DCA,US,3,159,134,0.45733788395904434
DCA,DL,1,0,0,
DCA,DL,2,0,0,
DCA,DL,3,0,0,
DCA,NK,1,0,0,
DCA,NK,2,0,0,
DCA,NK,3,0,0,
DCA,VX,1,0,0,
DCA,VX,2,0,0,
DCA,VX,3,0,0,
DCA,AS,1,0,0,
DCA,AS,2,0,0,
DCA,AS,3,0,0,
DCA,EV,1,0,0,
DCA,EV,2,0,0,
DCA,EV,3,0,0,
PIT,F9,1,0,0,
PIT,F9,2,0,0,
PIT,F9,3,0,0,
PIT,UA,1,0,0,
PIT,UA,2,0,0,
PIT,UA,3,0,0,
PIT,B6,1,0,0,
PIT,B6,2,0,0,
PIT,B6,3,0,0,
PIT,WN,1,384,38,0.09004739336492891
PIT,WN,2,577,196,0.2535575679172057
PIT,WN,3,118,160,0.5755395683453237
PIT,AA,1,0,0,
PIT,AA,2,0,0,
PIT,AA,3,0,0,
PIT,US,1,0,0,
PIT,US,2,0,0,
PIT,US,3,0,0,
PIT,DL,1,0,0,
PIT,DL,2,0,0,
PIT,DL,3,0,0,
PIT,NK,1,0,0,
PIT,NK,2,0,0,
PIT,NK,3,0,0,
PIT,VX,1,0,0,
PIT,VX,2,0,0,
PIT,VX,3,0,0,
PIT,AS,1,0,0,
PIT,AS,2,0,0,
PIT,AS,3,0,0,
PIT,EV,1,0,0,
PIT,EV,2,0,0,
PIT,EV,3,0,0,
RIC,F9,1,0,0,
RIC,F9,2,0,0,
RIC,F9,3,0,0,
RIC,UA,1,0,0,
RIC,UA,2,0,0,
RIC,UA,3,0,0,
RIC,B6,1,223,56,0.2007168458781362
RIC,B6,2,31,21,0.40384615384615385
RIC,B6,3,3,0,0.0
RIC,WN,1,220,43,0.1634980988593156
RIC,WN,2,33,34,0.5074626865671642
RIC,WN,3,1,3,0.75
RIC,AA,1,0,0,
RIC,AA,2,0,0,
RIC,AA,3,0,0,
RIC,US,1,0,0,
RIC,US,2,0,0,
RIC,US,3,0,0,
RIC,DL,1,0,0,
RIC,DL,2,0,0,
RIC,DL,3,0,0,
RIC,NK,1,0,0,
RIC,NK,2,0,0,
RIC,NK,3,0,0,
RIC,VX,1,0,0,
RIC,VX,2,0,0,
RIC,VX,3,0,0,
RIC,AS,1,0,0,
RIC,AS,2,0,0,
RIC,AS,3,0,0,
RIC,EV,1,9,3,0.25
RIC,EV,2,0,4,1.0
RIC,EV,3,0,1,1.0
PVD,F9,1,0,0,
PVD,F9,2,0,0,
PVD,F9,3,0,0,
PVD,UA,1,0,0,
PVD,UA,2,0,0,
PVD,UA,3,0,0,
PVD,B6,1,253,69,0.21428571428571427
PVD,B6,2,140,105,0.42857142857142855
PVD,B6,3,48,45,0.4838709677419355
PVD,WN,1,373,48,0.11401425178147269
PVD,WN,2,403,178,0.306368330464716
PVD,WN,3,216,145,0.40166204986149584
PVD,AA,1,0,0,
PVD,AA,2,0,0,
PVD,AA,3,0,0,
PVD,US,1,0,0,
PVD,US,2,0,0,
PVD,US,3,0,0,
PVD,DL,1,0,0,
PVD,DL,2,0,0,
PVD,DL,3,0,0,
PVD,NK,1,0,0,
PVD,NK,2,0,0,
PVD,NK,3,0,0,
PVD,VX,1,0,0,
PVD,VX,2,0,0,
PVD,VX,3,0,0,
PVD,AS,1,0,0,
PVD,AS,2,0,0,
PVD,AS,3,0,0,
PVD,EV,1,0,0,
PVD,EV,2,0,0,
PVD,EV,3,0,0,
DFW,F9,1,0,0,
DFW,F9,2,0,0,
DFW,F9,3,0,0,
DFW,UA,1,0,0,
DFW,UA,2,0,0,
DFW,UA,3,0,0,
DFW,B6,1,0,0,
DFW,B6,2,0,0,
DFW,B6,3,0,0,
DFW,WN,1,0,0,
DFW,WN,2,0,0,
DFW,WN,3,0,0,
DFW,AA,1,415,165,0.28448275862068967
DFW,AA,2,959,715,0.4271206690561529
DFW,AA,3,581,493,0.4590316573556797
DFW,US,1,0,0,
DFW,US,2,0,0,
DFW,US,3,0,0,
DFW,DL,1,0,0,
DFW,DL,2,0,0,
DFW,DL,3,0,0,
DFW,NK,1,84,33,0.28205128205128205
DFW,NK,2,162,180,0.5263157894736842
DFW,NK,3,9,30,0.7692307692307693
DFW,VX,1,0,0,
DFW,VX,2,0,0,
DFW,VX,3,0,0,
DFW,AS,1,0,0,
DFW,AS,2,0,0,
DFW,AS,3,0,0,
DFW,EV,1,0,0,
DFW,EV,2,0,0,
DFW,EV,3,0,0,
ORD,F9,1,10,4,0.2857142857142857
ORD,F9,2,91,197,0.6840277777777778
ORD,F9,3,52,71,0.5772357723577236
ORD,UA,1,320,98,0.23444976076555024
